DateKey,TimeKey,WeatherStationID,PrecipQuantity,TempAvg,TempMax,TempMin,TempGrassPt100Avg,TempSoilAvg,TempSoilAvg5cm,TempSoilAvg10cm,TempSoilAvg20cm,TempSoilAvg50cm,WindSpeed10m,WindSpeedAvg30m,WindGustsSpeed,HumidityRelShelterAvg,Pressure,SunDuration,ShortWaveFromSkyAvg,SunIntAvg
20250310,000000,6477,0.0,8.31,18.84,0.13,6.44,9.62,8.65,8.46,6.82,7.8,1.08,,4.72,77.02,997.12,552.92,137.67,210.27
20250311,000000,6434,0.0,6.04,7.95,0.98,5.5,5.64,6.03,6.8,7.56,7.92,3.64,4.32,9.14,80.18,1003.01,63.42,53.75,25.39
20250311,000000,6477,0.0,4.25,7.52,0.18,2.19,4.59,5.31,6.07,5.71,7.76,1.33,,6.23,91.89,999.02,0.0,24.41,2.07
20250311,000000,6494,1.6,3.37,6.59,-0.54,5.02,5.22,5.5,5.65,5.76,5.21,2.31,,7.47,98.17,923.97,0.0,35.31,2.26
20250311,000000,6455,5.32,6.17,8.47,2.79,6.21,7.72,8.41,8.69,8.47,7.86,1.97,,6.67,94.23,974.66,0.0,35.86,2.17
20250311,000000,6459,0.03,5.4,8.87,0.92,5.21,,5.93,6.4,7.11,7.15,3.29,,7.33,87.19,984.93,0.0,29.01,1.98
20250311,000000,6464,0.0,4.83,8.22,-0.78,2.62,4.54,5.66,6.41,7.28,8.16,1.72,,6.22,86.08,1001.5,0.0,32.82,2.9
20250311,000000,6438,0.0,5.66,8.2,0.96,3.66,5.13,6.43,6.83,6.98,8.11,3.0,,8.79,82.09,1004.14,63.42,50.01,23.22
20250311,000000,6447,0.0,5.81,8.31,1.8,4.26,5.04,5.55,6.4,7.29,7.75,,3.19,8.54,82.74,991.92,0.0,25.85,2.09
20250311,000000,6418,0.25,6.56,7.3,5.29,,,,,,,7.26,,13.04,81.0,1003.78,203.17,,75.06
20250311,000000,6472,2.44,5.81,8.34,2.27,5.94,6.43,6.96,7.09,7.35,6.98,2.41,3.06,7.05,92.97,968.2,0.0,32.57,1.97
20250311,000000,6484,0.28,7.22,10.9,3.8,16.11,8.47,8.33,7.58,7.76,6.51,2.77,,8.59,91.87,964.35,57.0,78.18,16.14
20250311,000000,6439,0.0,5.62,8.13,0.82,4.98,,5.75,6.36,7.27,7.69,2.22,,7.57,83.94,1003.36,3.58,33.46,5.07
20250311,000000,6414,0.03,5.91,7.79,0.97,4.38,3.96,6.74,7.18,5.97,8.04,3.7,,8.73,82.2,1002.1,101.92,65.5,27.05
20250312,000000,6438,1.19,3.95,8.09,-0.56,3.1,4.01,5.34,5.57,5.62,7.27,2.38,,8.79,86.78,1001.32,192.5,86.11,68.13
20250312,000000,6484,0.0,2.81,6.44,-1.13,10.94,5.51,5.72,5.69,6.71,6.63,3.32,,9.58,79.78,961.98,273.0,134.67,75.71
20250312,000000,6447,1.01,3.64,8.12,-0.1,2.93,4.63,4.8,5.21,5.89,7.13,,1.87,9.38,88.2,989.41,153.67,64.46,62.14
20250312,000000,6464,0.13,2.76,8.41,-2.42,1.76,3.8,4.65,5.14,5.81,7.37,1.19,,8.64,90.76,999.0,95.33,65.98,41.85
20250312,000000,6418,0.46,6.32,8.37,4.22,,,,,,,4.09,,9.63,74.79,1000.51,561.42,,216.29
20250312,000000,6455,0.03,2.7,7.61,-1.94,3.59,5.5,6.33,6.71,7.07,7.74,1.22,,8.47,87.38,972.36,115.58,77.56,54.69
20250312,000000,6472,0.18,2.68,6.29,0.12,3.33,4.32,4.87,5.24,5.95,6.74,1.63,2.18,5.69,85.23,965.87,65.58,66.16,29.66
20250312,000000,6414,0.0,3.99,7.85,-0.46,1.77,4.13,4.95,5.33,4.46,7.48,2.37,,7.57,86.3,999.14,267.75,91.67,102.19
20250312,000000,6439,2.69,3.8,8.12,-0.78,4.48,,4.79,5.16,5.87,6.96,1.5,,8.67,89.52,1000.74,134.58,61.28,54.25
20250312,000000,6494,0.0,-0.24,2.4,-1.48,2.51,2.49,3.12,3.62,4.36,5.16,0.73,,4.71,92.46,921.35,26.17,55.08,10.78
20250312,000000,6434,0.26,3.46,7.67,-1.6,2.93,3.39,4.04,4.7,5.57,7.17,2.13,2.79,8.9,84.0,1000.19,166.67,70.84,87.55
20250312,000000,6477,0.0,2.95,8.32,-2.93,2.4,5.24,5.15,5.43,4.79,7.06,1.44,,7.97,88.9,996.8,169.25,97.06,58.25
